Recipe Title,Category,Ingredients,Instructions,Prep Time,Cook Time,Total Time,Servings
Kaali Daal (Black Lentils),mains,"['1 cup black lentils rinsed (they are sometimes called green lentils in American stores)', '1 teaspoon salt or to taste', '¼ medium-sized yellow onion thinly sliced in half rings', '½ teaspoon black pepper or to taste', '2 teaspoon red chili powder (preferably Kashmiri red chili powder)', '½ teaspoon turmeric powder']","['Add the lentils to a medium-sized sauce pan, add 5 cups water and bring to a boil.', 'Once the water has come to a boil, add ½ of the onion, turmeric, red chili powder, salt and pepper.', 'Give the daal a quick stir, cover it with a lid and let it cook undisturbed for 35-40 minutes, until soft.', 'About 20 minutes in, start getting the tadka (tempering) ready. Heat oil in a frying pan. Once it begins to shimmer, add the remaining chopped onion. Fry on high heat until it starts to brown. Add the garlic and fry until it slightly changes color. Add cumin seeds and stir until fragrant (while keeping an eye on the onions and garlic, making sure they don’t burn). Add chilies and fry for a few seconds. Remove from heat.', ""Once the tadka is ready, check your daal to see if it's done. If the lentils are soft, remove from stove and place daal in serving dish. Pour the tadka (including the oil) over it."", 'Serve with rice and achaar (pickles).']",10 minutes,50 minutes,1 hour,4
Beef Keema with Yogurt,meat and poultry,"['⅓ cup neutral oil', '1 bay leaf', '1 black cardamom', '4 cloves', '½ inch cinnamon stick', '1 large yellow onion thinly sliced in half rings', '1 tablespoon ginger and garlic paste', ""2 to 4 bird's eye chilies or to taste sliced lengthwise"", '½ teaspoon turmeric powder', '1 teaspoon cumin powder', '2 teaspoon coriander powder', '1 teaspoon red chili powder', '1 pound ground beef', '1 ¼ teaspoon salt or to taste', '1 cup full-fat yogurt whisked and brought to room temperature']","['Heat oil in a heavy bottom pot. Once it begins to shimmer, add whole spices (bay leaf, black cardamom, cloves and cinnamon stick) and fry on medium to medium-low heat for 30 seconds or until fragrant.', 'Add onions and sauté until evenly brown for 7 to 12 minutes.', 'Add crushed ginger and garlic and fry for 30 seconds. Take care not to let it burn. Stir in green chilies.', 'Add ground spices (turmeric, coriander, cumin and red chili powder) fry for 1 minute. Deglaze the pan with a splash of water (1 tablespoon at a time) if and as needed.', 'Increase heat to medium to medium high, and add ground beef and salt. Crumble with wooden spatula and fry until no longer pink, about 5 minutes.', ""Add ½ cup room temperature water and bring to a simmer. Lower heat, cover and let the beef cook for 30 minutes. Stir occasionally to make sure it doesn't stick to the bottom of the pan. Once done, remove cover and let it simmer to boil out any excess moisture. Check for salt and adjust as needed."", 'Fold in yogurt and stir continuously on medium-low heat for about 8 to 10 minutes until the oil begins to separate from the keema and you get the desired texture.', 'Remove from heat, place in serving platter and garnish with finely chopped cilantro and chilies. Serve with roti or plain basmati rice.']",5 minutes,1 hour,N/A,4
40-Minute Pakistani Style Hariyali Chicken,meat and poultry,"['¾ cup cilantro roughly chopped and tightly packed', '¼ cup mint  tightly packed', ""1-2 bird's eye chilies"", '1 ½ cup full-fat yogurt lightly whisked', '⅓ cup neutral oil  canola/sunflower/vegetable', '1 pound (~450 grams) boneless chicken diced', '1  teaspoon salt or to taste', '2 teaspoon crushed garlic', '2 teaspoon crushed ginger', '2 teaspoon red chili flakes']","['Add cilantro, green chilies, mint and yogurt to a food processor and pulse until well-mixed', 'Heat oil in a medium-sized saucepan or skillet. Add crushed garlic and fry on low heat for roughly 30 seconds or until fragrant.', 'Increase heat to medium. Add diced chicken, salt, crushed ginger and red chili flakes. Sear until no longer pink, roughly 2-5 minutes.', 'Lower heat and add the yogurt mixture. Stir until chicken is well-coated in the masala.', 'Once it comes to a simmer, partially cover the saucepan with a lid, and let the hara masala bubble for roughly 10 minutes.', 'Remove the lid and increase heat to high. Stir continuously to boil out any excess water and until the oil begins to separate from the sauce.']",15 minutes,25 minutes,40 minutes,4
Kali Mirch Chicken (Black Pepper Chicken),meat and poultry,"['½ cup neutral oil canola/sunflower/vegetable', '1 teaspoon crushed garlic', '2 pounds (~1 kg) whole chicken cut in small parts', '2 teaspoon salt  or to taste', '1 medium yellow onion thinly sliced in half rings', '2 teaspoon crushed ginger', '1 teaspoon cumin powder', '2 teaspoon coriander powder', '1 tablespoon black pepper', '½ cup full-fat yogurt', '⅛ teaspoon garam masala powder for garnish (optional)', '1- inch ginger julienned for garnish (optional)', ""2 bird's eye chiles thinly sliced for garnish (optional)""]","['Heat oil in a wok or karahi and add crushed garlic. Fry on low heat for 30 seconds or until fragrant.', 'Increase heat to high, and add chicken and salt. Sear until no longer pink.', 'Add crushed ginger, sliced onion and ½ cup of water. Bring to boil, then lower to simmer. Cook uncovered until the chicken is tender and most of the water has evaporated, about 25-30 minutes.', 'Add yogurt, cumin powder, coriander powder and black pepper. Stir continuously on medium heat for about 5-7 minutes or until the chicken is well-coated in spices and the oil begins to separate from the dish.', 'Remove from heat. Garnish with julienned ginger, chili and a pinch of garam masala powder. Serve with roti or naan.']",20 minutes,40 minutes,1 hour,6
Bilquees's Gobi Gosht (Mutton with Cauliflower),meat and poultry,"['1 pound (~500 grams) goat/lamb meat  cut in small pieces', '2½ teaspoon salt  or to taste', '¾ cup neutral oil canola, sunflower or vegetable', '2 small (~3-5 ounces/100-150 grams) yellow or red onions  thinly sliced', '1 teaspoon crushed ginger', '1 teaspoon crushed garlic', '1 bird’s eye chili finely chopped, optional', '3 (~3-5 ounces/100-150 grams) roma tomatoes diced', '1 teaspoon red chili powder']","['Place meat in a colander and rub with 1 teaspoon of salt. Set aside.', 'Heat heavy bottom pot and add ½ cup oil. Once hot, add sliced onion and sauté until evenly brown, roughly 7-10 minutes.', 'Add crushed ginger and garlic, and bird’s eye chili (if using). Stir for roughly 30 seconds to 1 minute until fragrant.', 'Add meat and stir on high heat until no longer pink for about 5-7 minutes.', 'Add tomatoes, red chili powder, ½ teaspoon of salt and whole garam masala (cumin seeds, cloves, peppercorn, green and black cardamom). Stir until well-mixed.', 'Add 2 ½ cups water and bring to boil. Lower to simmer and cover. Cook until the meat is tender about 2 – 2 ½ hours.', 'While the meat is cooking, begin to get the cauliflower ready. In a large wok or frying pan, heat remaining ¼ cup oil. Once hot, add cauliflower, ½ teaspoon of salt, and pepper. Sauté until just slightly brown and evenly cooked, about 5 - 7 minutes.', 'Once the meat is tender, carefully remove the lid and add cauliflower. Increase heat to high, and stir until the cauliflower has absorbed the masala and the oil begins to separate from the spices. Remove from heat.', 'Carefully place gobi gosht into a serving bowl. Garnish with diced cilantro and chilies, and dust with garam masala powder.']",10 minutes,2 hours,2 hours,6
Pakistani Style Easy Chicken Keema (Ground Chicken),meat and poultry,"['2 tablespoon neutral oil  canola, sunflower or vegetable', '2 small red or yellow onions  thinly sliced in half rings', '1 teaspoon crushed garlic', '1 teaspoon crushed ginger', '1 bird’s eye chili  finely chopped', '2 cloves', '1 black cardamom pod', '¼ teaspoon turmeric powder', '1 teaspoon red chili powder  preferably Kashmiri red chili powder. Less if using cayenne red pepper.', '1 teaspoon coriander powder', '½ teaspoon cumin powder', '1 pound (~450 grams) ground chicken', '1 teaspoon salt  or to taste', '4 roma tomatoes  roughly chopped', '¼ teaspoon garam masala powder  (optional)', '1 tablespoon cilantro  finely diced (optional)']","['Heat oil in a medium-sized heavy bottom pot. Add chopped onion, and brown on medium-low heat until evenly brown, about 7-10 minutes.', 'Lower heat, and add crushed ginger and garlic. Sauté for 30 seconds to 1 minute until fragrant.', 'Add chopped bird’s eye chili, and sauté for another 30 seconds.', 'Add whole and ground spices, and fry on low heat for roughly 1 minute until fragrant. Add a splash of water to deglaze the pan if necessary.', 'Increase heat to high, and add ground chicken and salt. Crumble with spatula, and fry until no longer pink.', 'Add 1 cup water, and bring to boil. Cover pot with tight fitting lid, and simmer on low heat for roughly 10 minutes.', 'Remove lid, increase heat to high, and add chopped tomatoes. Fry the tomatoes, stirring frequently until the oil begins to separate.', 'Remove from heat, and place in serving bowl. Dust with garam masala powder, and garnish with cilantro if using.']",10 minutes,40 minutes,50 minutes,4
Mommy's Mutton Pulao (Yakhni Pulao),meat and poultry,"['3 pounds (~ 1 ½ kilogram) mutton washed, trimmed, and cut in small pieces', '4 medium-sized yellow or red onions thinly sliced in half rings', '2 black cardamom', '4 cloves', '2- inch cinnamon stick', '1 tablespoon cumin seeds', '2 tablespoons crushed garlic', '2 tablespoons salt or to taste', '⅓ cup neutral oil canola/sunflower/vegetable', '3 cups basmati rice washed in several changes of water and preferably soaked overnight']","['Add meat in a large pot of salted water (I add 1 tablespoon of salt at this stage) with black cardamom, cloves, cinnamon stick, cumin seeds, 2 sliced onions, and 1 tablespoon of crushed garlic. Bring to boil, cover pot and simmer on low heat until mutton is tender, about 1 ½ to 2 hours.', 'Once the meat is tenderized, remove the meat with a slotted spoon, and set aside.', 'Strain the bone broth, and set aside.', 'In a large pot, heat oil. Once the oil begins to shimmer, add the remaining sliced onion, and fry for about 15 minutes on medium-low heat or until a deep golden brown.', 'Add crushed garlic, and fry for roughly 30 seconds or until fragrant.', 'Add the mutton, salt, and fry for 8-10 minutes on medium-high heat.', 'Add 6 cups of the strained mutton broth to the pot. Check for salt, and bring to a boil. You can put the leftover of the broth in airtight containers, and freeze for later use.', 'Add rice, and let the water boil out, about 10 minutes.', 'Once the water boils out, wrap lid with a clean kitchen towel and place it securely on the pot. Let rice steam on very low heat for 10 minutes.', 'Place pulao on serving platter and fluff with a fork.']",10 minutes,2 hours,3 hours,6
Boneless Chicken Achari,meat and poultry,"['¼ cup neutral oil canola/sunflower/vegetable', '¼ teaspoon fenugreek seeds', '¼ teaspoon fennel seeds', '¼ teaspoon nigella seeds', '1 pound (~450 grams) boneless chicken, diced', '1 teaspoon crushed ginger', '1 teaspoon crushed garlic', '1 medium-sized yellow onion thinly sliced in half rings', '1 teaspoon salt  or to taste', '¼ teaspoon turmeric powder', '1 teaspoon red chili powder (preferably Kashmiri red chili powder)', '½ teaspoon cumin powder', '½ teaspoon coriander powder', '4 roma tomatoes crushed', '1 tablespoon full-fat yogurt lightly whisked', '1 tablespoon mixed pickle (optional)']","['In a heavy-bottomed pot, heat oil. Add whole spices (fenugreek seed, fennel seeds and nigella seeds) and fry on medium heat until aromatic.', 'Add sliced onion and continue to fry on medium heat until evenly soft and brown, about 5-7 minutes.', 'Lower heat and add crushed ginger and garlic. Fry for 30 seconds to 1 minute.', 'Add ground spices and fry until they stop smelling raw. Deglaze the pan with a splash of water if needed.', 'Increase heat to high and add crushed tomatoes. Mix well and stir on high heat until the oil begins to separate from the tomato-onion base.', 'Add chicken and sear on high heat until no longer pink.', 'Add ¼ cup water and bring to simmer. Partially cover the pot and let the chicken cook for about 10 minutes.', 'Lower heat and add in whisked yogurt. Mix well.', 'Remove from heat and stir in mixed pickle if using.']",10 minutes,35 minutes,45 minutes,4
Rafia's Pakistani Style Ginger Chicken,meat and poultry,"['½ cup neutral oil', '2 medium-sized onions roughly chopped', '2 teaspoon crushed ginger', '1 teaspoon crushed garlic', '2 pounds boneless chicken diced', '1 teaspoon salt or to taste', '1 teaspoon red chili powder', '½ teaspoon turmeric powder', '4 roma tomatoes roughly chopped', '1- inch knob ginger  julienned', ""1 bird's eye chilies  + extra for garnish"", '½ cup full-fat yogurt brought to room temperature']","['Heat oil on medium heat in a non-stick saucepan. Once it begins to shimmer, add chopped onions and fry until soft.', 'Lower heat, and add crused ginger and garlic paste. Fry for roughly 2 minutes, taking care to not burn them.', 'Increase heat to high, and add chicken and ½ teaspoon of the salt. Fry on medium heat for about 10 minutes.', 'Add red chili powder and turmeric powder, and stir for a few seconds until fragrant.', 'Add diced tomatoes, and remainder of the salt. Cook on high heat until the sauce is reduced to a jammy mixture.', 'Add julienned ginger and green chili.', 'Lower heat, stir in the yogurt, and let the chicken cook for an additional 10 minutes.', 'Place in serving bowl and garnish with julienned ginger, cilantro and green chilies.']",30 minutes,1 hour,1 hour,4
Ash Reshteh (Afghan Style Noodle Soup),meat and poultry,"['½ cup neutral oil canola/sunflower/vegetable', '1 ½\xa0 medium yellow onion cut in half rings', 'Salt to taste', '1 teaspoon red chili powder (preferably Kashmiri red chili powder)', '½ teaspoon turmeric powder', '1 teaspoon cumin powder', '1 teaspoon coriander powder', '4 roma tomatoes', '½ lb. ground beef']","['Begin by preparing the keema. In a saucepan, heat oil and brown onions on medium-low heat for 10 minutes. Add spices listed under keema (red chili powder, turmeric powder, cumin and coriander powder and stir for a few seconds until fragrant. Add a splash of water to deglaze the pan if needed.', 'Add tomatoes and fry on high heat until they soften, about 7 minutes.', 'Add ground beef, salt, approximately ½ cup of water and let it cook on medium to low heat for 45 minutes.', 'To prepare the soup, bring 2 quarts of water to a boil.\xa0Add salt, oil, noodles, mint, dill, chopped spring onion and spinach. Once the broth begins to simmer, add green chilies, red beans and garbanzo beans. After 5 minutes, add the keema prepared earlier, and ginger and garlic powder, and let it simmer on low heat for a couple of minutes.', 'While the beef cooks in the broth, whisk 3 cups of sour yogurt and add a teaspoon of garlic (if using) in a deep serving dish.', 'Once the noodles are done, strain them with a slotted spoon and begin to add them to the yogurt. Top with broth and set aside.', 'Begin to get the tempering ready.\xa0Heat ½ cup of oil and fry crushed garlic and red chili powder for a few seconds. Pour it over the soup. Sprinkle with dried mint.']",30 minutes,1 hour,N/A,8
Easy Boneless Chicken Karahi,meat and poultry,"['3 tablespoon neutral oil canola/sunflower/vegetable', '1 tablespoon cumin seeds', '1 teaspoon crushed garlic', '1 teaspoon crushed ginger finely chopped', ""2 bird's eye chili  roughly chopped"", '1 ½ pound (~ 700 grams) boneless chicken preferably chicken thighs, diced', '1 ½ teaspoon salt or to taste', '6 roma tomatoes de-seeded, roughly chopped', '1 tablespoon red chili flakes', '1 teaspoon black pepper', '1 teaspoon garam masala powder', '4 tablespoon finely chopped cilantro', '1 tablespoon full-fat yogurt lightly whisked (optional)']","['Heat oil in a large karahi or wok. When the oil begins to shimmer, add cumin seeds. Fry until fragrant, roughly 30 seconds or less.', 'Lower heat and add crushed garlic, ginger and diced green chilies. Fry until fragrant, roughly 30 seconds or less.', 'Turn the heat up to high, and add chicken and salt. Sear until no longer pink, about 5-10 minutes.', 'Add chopped tomatoes and stir continuously on high heat until jammy, about 10 minutes.', 'Add red chili flakes, black pepper and garam masala powder, and mix well. Check for salt.', 'Let the chicken simmer on high heat until the gravy reduces, about 5 minutes.', 'Lower heat and add cilantro and yogurt. Stir until well-mixed.', 'Remove from heat. Garnish with finely chopped cilantro, green chilies, and ginger.']",30 minutes,45 minutes,1 hour,4
Palak Gosht (Mutton Curry with Spinach),meat and poultry,"['1 lb. mutton with bone chopped in small pieces', '1 ½ teaspoon salt or to taste', '4 tablespoon oil (canola/sunflower/vegetable)', '1 medium-sized yellow onion sliced in half rings', '1 teaspoon crushed ginger', '1 teaspoon crushed garlic', '1 bird’s eye chili diced (optional)', '1 ½ teaspoon cayenne red powder', '2 teaspoon coriander powder', '½ teaspoon turmeric powder', '4 roma tomatoes roughly chopped', '1 lb. leafy spinach roughly diced']","['Rub 1 teaspoon salt on to the mutton pieces. Set aside.', 'Heat oil in a stockpot. When hot, add chopped onions, and fry on medium heat until soft and translucent, about 7-10 minutes.', 'Add crushed ginger and garlic, and fry for roughly 30 seconds.', 'Add green chili (if using) and ground spices, and fry for roughly 1 minute until fragrant. Deglaze the pot with a splash of water if needed.', 'Add diced tomatoes, and the remainder of the salt. Fry tomatoes on high heat until soft, about 5-7 minutes.', 'Add chopped mutton, and continue to fry on high heat for 15-20 minutes.', 'Add roughly 3 cups water (just enough for the meat to be completely submerged) and cover with a tight fitting lid. Bring to simmer, and let the curry cook on medium-low heat for 1 ½ hour.', 'Lift cover and fold in diced spinach. Partially cover the stockpot, and let it simmer for another 30 minutes.', 'Check for salt, and adjust as needed. If there is still excess liquid, remove lid and increase heat to high to boil out some of the water.', 'Serve with roti, plain basmati rice or a vegetarian pulao of your choice.']",20 minutes,2 hours,3 hours,4
Slow Cooker Dum Kay Pasanday (Masala-Rubbed Beef),meat and poultry,"['1 teaspoon black peppercorn', '1 ½ teaspoon coriander seeds', '1  teaspoon cumin seeds', '1 teaspoon mustard seeds', '½ teaspoon whole cloves', '½ teaspoon fennel seeds', '4 green cardamom pods', '1 inch cinnamon stick broken into small pieces', '5 dried red chilies']","['Toast spices in a dry skillet on medium-low heat for 3 - 5 minutes, stirring occasionally until mustard seeds begin to pop. Cool completely and then grind into a powder using a spice or coffee grinder.', 'In a large platter, mix the beef, salt, yogurt, lemon juice, ginger and garlic paste and spice mix. Marinate for 2 hours, or more.', 'Heat oil in a large non-stick skillet over medium heat. Add chopped onion and fry until caramelized, about 10 minutes.', 'Add the marinated beef and cook on high heat till the meat is no longer pink, 5-7 minutes.', 'Remove from stove. Place in Crock-Pot or any slow cooker, add 1 cup water. Cook on low heat for 6 hours or high heat for 3 hours. Serve warm.']",10 minutes,3 hours,5 hours,6
Anita's Bhuna Gosht (Stewed Meat),meat and poultry,"['4 tablespoon oil canola/vegetable oil', '1 large onion thinly sliced in half rings', '4 tablespoon crushed tomatoes', '2.2 lbs beef stewing cubes cut in 1-2 inch pieces', '1 cup full-fat yogurt', '1 ½ salt to taste or to taste', '½ teaspoon red chili powder', '2 teaspoon garam masala powder', '2 teaspoon cumin powder', '4 garlic cloves crushed']","['Lightly whisk the yogurt and stir in the ground spices, salt and crushed garlic.', 'Coat the meat in the marinade, and leave in the fridge for 2 hours or more.', 'Heat oil in a stockpot on medium-low heat. Sauté the onion for about 7-10 minutes till it softens.', 'Raise heat to medium-high and add the marinated meat. Fry till brown, about 5 minutes.', 'Add the tomatoes, give it a quick stir and add 1 ½ cup water. Bring to boil and cover with tight fitting lid.', 'Dial heat to low, and let it cook for 2 hours while stirring occasionally. Add more water as necessary.', 'Once the meat is tender, it’s ready to serve. Garnish will finely chopped cilantro and green chilies.']",15 minutes,2 hours,4 hours,4
Bohra Style Keema Khichdi (Ground Meat and Lentil Rice),meat and poultry,"['1 cup basmati rice washed and soaked overnight', '1 cup split moong daal washed and soaked overnight', '1 teaspoon salt  or to taste']",['Preheat oven to 350°F.'],10 minutes,1 minute,1 hour,6
Pakistani Style 30-minute Ground Beef Kebabs,meat and poultry,"['½ medium-sized yellow onion roughly chopped', '1 tablespoon cilantro roughly chopped', '2 Thai bird’s eye chilies roughly chopped', '1 pound (~ 450 grams) ground beef drained', '½ teaspoon garam masala powder', '1 teaspoon salt or to taste', '1 teaspoon red chili powder preferably Kashmiri', '½ teaspoon black pepper', '½ teaspoon cumin powder', 'Juice of 1 lime', '1 teaspoon crushed garlic', '1 teaspoon crushed ginger', '2 tablespoon olive oil']","['Put the roughly chopped onions, cilantro, and chilies in a food processor and grind until finely chopped.', 'Place the ground beef in a large bowl. Add salt and ground spices (garam masala powder, red chili powder, black pepper, cumin powder) and mix well.', 'Add the onion-cilantro mixture, crushed ginger and garlic, lime juice and olive oil to the ground beef. Mix well.', 'Take fistfuls of the mixture, and begin to shape into little patties.', 'Grill Instructions: If you are using the grill, make sure you heat it up well. The time will depend on whether you are using a charcoal or gas grill. Once hot, place kebabs on the grill and cook each side for 4-6 minutes.', 'Oven Instructions: If you want to prepare them in the oven, pre-heat it to 450°F. Line a sheet pan with aluminum foil and grease it. Place kebabs on it and then insert the sheet pan into the center rack of the oven. Set it to broil on high heat for 10 – 15 minutes depending on how well done you like them to be (I set them for 12 minutes).']",15 minutes,15 minutes,30 minutes,4
Easy Pakistani Style Chicken Drumsticks,meat and poultry,"['½ cup whole milk yogurt lightly whisked', '2 teaspoon Kashmiri red chili powder or 1 teaspoon cayenne red pepper', '1 teaspoon salt or to taste', '1 teaspoon garam masala powder', '1 tablespoon crushed ginger', '1 tablespoon crushed garlic', '1 tablespoon lemon juice', '6 skinless chicken drumsticks or roughly 1 pound bone-in chicken pieces', '1 tablespoon olive oil']","['Add whisked yogurt, chili powder, salt, garam masala powder, lemon juice, crushed ginger and garlic to a medium size bowl and mix well.', 'Make diagonal slits in the chicken and coat in yogurt marinade. Cover and refrigerate for 3 hours or overnight.', 'Grease ovenproof dish or sheet pan with roughly 1 tablespoon olive oil.', 'Preheat oven to 450°F with a rack in the middle.', 'Place chicken on ovenproof dish or sheet pan, cover with foil and bake for 15 minutes.', 'Remove foil and let the chicken bake for another 15 minutes.', 'Increase heat to 500°F and bring oven to broil. Broil chicken for 5 - 10 minutes. The exact time will depend on the type of chicken you are using.']",5 minutes,40 minutes,3 hours,2
Haleem (Beef and Barley Porridge),meat and poultry,"['Lentil Mixture', '1 cup wheat kernels rinsed and soaked overnight', '½ cup yellow split peas rinsed and soaked overnight', '¼ cup barley rinsed and soaked overnight', '¼ cup basmati rice rinsed and soaked for one hour', '¼ cup red lentils rinsed and soaked for one hour', '¼ cup moong daal rinsed and soaked for one hour', '1 medium yellow onion thinly sliced in half rings', 'Salt to taste', '1 tablespoon turmeric powder', '2½ tablespoon red chili powder', 'Meat Korma', '⅓ cup oil canola, sunflower or vegetable oil', '2 lb boneless beef chuck or lamb shoulder fat trimmed and roughly chopped in 1-inch pieces', '2 tablespoon ginger/garlic paste', '6 black cardamom pods', '8 cloves', '2- inch cinnamon stick', '10 peppercorns', '½ cup plain yogurt', '2 tablespoon coriander powder', '1 teaspoon garam masala powder']","['Bring 4 quarts of water to a simmer and add grains. Add salt to taste, 1 tablespoon red chili powder, turmeric powder, and ½ sliced onion. Dial heat to low and cover. Let it simmer for approximately 2 hours. Stir occasionally to make sure that the grains do not stick to the bottom of the pan.', 'Once the grains are fall-apart soft, drain excess water and transfer to a food processor. Mince it well to soften the texture, and transfer grain mixture to a large pot.', 'Once the grains are boiling, begin to prepare the meat korma. Heat oil in a large pot. When the oil is sizzling hot, add onions and fry on medium heat till they are golden brown and crisp, about 7 minutes, more if necessary. Be careful not to burn. Once onions are ready, transfer to a paper towel to drain excess oil.', 'Move the saucepan to a cooling rack and let it cool. Heat remaining oil again on low heat, add ginger and garlic paste, and let it fry for a few seconds. Be careful since it may splutter. Add meat, salt to taste, and whole spices (black cardamom pods, cloves, peppercorns, cinnamon stick), and fry on medium-high heat till the meat is evenly cooked, about 5-7 minutes.', 'Stir in coriander powder, garam masala, and remaining red chili powder into the yogurt. Add fried onions and the spiced yogurt to the meat. Continue to cook on medium-high heat for another 5-7 minutes till the oil begins to separate.', 'Lower heat. Add 5 cups of water and bring to a simmer. Cover and cook till meat is tender and falling apart, roughly 1 to 1½ hours. Stir meat frequently to make sure it does not stick to the bottom.', 'Once the meat is ready, take out whole spices with a slotted spoon. Transfer meat mixture to a food processor and mince till it has an even consistency. Once ready, transfer to the pot with the grains.', 'On low heat, begin to stir the grain and meat mixture together till it is well blended, about 5 minutes. Top with crispy, fried brown onion.', 'Serve alongside finely chopped green chili, cilantro, julienned ginger, chaat masala, lemon or lime wedges, and naan.']",N/A,3 hours,N/A,6
Pakistani Style Chicken Tikka,meat and poultry,"['6 chicken whole legs thigh included – each leg weighed about ½ pound', '3 tablespoon oil canola/sunflower/vegetable', '24 oz full-fat yogurt', 'Juice of 1 whole lemon', 'Salt to taste', 'Pepper to taste', '3 tablespoon red chili powder (preferably Kashmiri red chili powder)', '1 tablespoon cumin seeds']","['Whip the yogurt to make it an even consistency.', 'Stir in the red chili powder, cumin seeds and add juice of one lemon.', 'Make slight diagonal splits on the chicken with a knife. Coat chicken with oil, salt and pepper.', 'Add the chicken to the yogurt marinade. Make sure it’s well-coated. Refrigerate for 6 hours or overnight.', 'To begin grilling, turn up all burners (this grill had four burners) and bring heat up to 400°F.', 'Remove the chicken from marinade, and place it on one side of the grill, preferably concentrated on top of only one burner. Reserve the marinade. Cook each side for about 10 minutes (so 20 minutes total). The outside should look crispy, bordering on charred.', 'Turn off the burner directly beneath the chicken. Leave the other three on high. Shut the grill and keep it closed for 30 minutes. Open it, flip each piece, and re-baste them with the remaining marinade. Let it cook for another 30 minutes with lid closed.', 'Serve with naan, chutney, lemons and red onions.']",N/A,N/A,N/A,6
Sweet Dalia (Cracked Wheat Porridge),ramadan,"['½ cup dalia or cracked wheat', '2 cardamom pods cracked', '2 ½ cups water', '¼ teaspoon salt', '1 ½ tablespoon brown sugar or to taste', '½ cup milk']","['Heat saucepan, and add dalia and cardamom pods. On high heat, roast the dalia until it changes color slightly, about 5 minutes.', 'Add water, salt and sugar, and bring to boil. Lower heat, and let the dalia simmer uncovered for 7-8 minutes or until the dalia is cooked, and nearly all the water has boiled out. It is important that you do not let the dalia become completely dry. During this step, keep scraping the bottom of the pot with your spatula to prevent the dalia from sticking.', 'Bring heat to low, and add milk. Stir vigorously for about 2 minutes or until you get the desired consistency. Remove from heat and serve immediately.']",N/A,20 minutes,20 minutes,2
Classic Sweet Lassi (Yogurt Drink),ramadan,"['1 ½ cup yogurt', '3 cups water', '6 ice cubes', '4 tablespoons sugar']","['Add ice cubs and yogurt to a blender, and blend on low speed for 20 – 30 seconds until frothy.', 'Add water and sugar to the yogurt and ice cube mixture and blend on low speed until well-mixed.']",N/A,5 minutes,5 minutes,4
Modern Shahi Tukray (Bread Pudding),ramadan,"['4 slices white bread edges removed, each slice cut in four triangles', '1 cup oil canola/sunflower/vegetable', '3 cups whole milk', 'Pinch saffron threads toasted and ground', '6 cardamom pods removed and seeds ground', '3 eggs beaten', '½ cup sugar or to taste', '1 tablespoon pistachios crushed']","['Pre-heat oven to 350° F. Butter a square baking dish.', 'Heat oil in a non-stick frying pan. Fry bread in batches, about 1-2 minutes each side until golden brown. Add extra oil as needed. Remove from heat.', 'Arrange bread in layers in buttered baking dish.', 'Place milk in saucepan and bring to boil. Lower heat. Add ground saffron and cardamom, and let it simmer for 10 minutes. Occasionally stir and remove any milk residue with a wooden spoon. Remove from heat.', 'While the milk simmers on low heat, beat eggs and sugar with a whisk in a large bowl until well-mixed.', 'Pour milk into the egg and sugar mixture, and beat again until well-mixed.', 'Pour custard over bread, and bake uncovered for 25 minutes.', 'Top with crushed pistachios.']",30 minutes,25 minutes,55 minutes,8
Pakistani Style Masala Chai,ramadan,"['4 cups water', 'Pinch of fennel seeds ground', '4 cardamom pods removed and ground', '5 teaspoons loose black tea or teabags', '1 cup whole milk', '5 teaspoons sugar or to taste']","['Bring 4 cups water to boil. Reduce to simmer and add ground spices and tea. Let it simmer for 2 minutes.', 'Whisk in milk. Bring to boil.', 'Lower heat and let milk simmer for 8 minutes, whisking occasionally and skimming any residue from the top.', 'Remove from heat, stir in sugar or sweetener.', 'Strain and pour in mugs or teacups.']",N/A,15 minutes,15 minutes,4
Ami's Green Chutney,ramadan,"['2 roma tomatoes', '4 cloves garlic', '1 tablespoon mint chopped', '4 tablespoon cilantro chopped', ""1 green chili (preferably bird's eye chili)"", '½ teaspoon red chili flakes', 'salt to taste']","['Roughly chop all fresh ingredients.', 'Place everything including spices, inside a food processor. Pulse until everything is finely ground, and chutney has an even consistency.']",10 minutes,N/A,10 minutes,2
